Hostname,Customer,Application,Eth0,Eth1,Env,Release,VIP,CPU,Mem,PDC,DAR 
csu343.cs.kadaster.nl,ota,ota-nfs,10.91.8.83,10.253.121.171,prod,PLP_BEHEER_2_0_21_0,,1,1.96 GB,PLP Kadaster beheertooling,jenkins-ci:1.582.0.0,cs.kadaster.nl,565,Almere
csu344.cs.kadaster.nl,roo,roo-geoip2,10.91.8.84,10.253.122.112,prod,PLP_ROO_1_0_12_0,10.91.119.5,4,7.80 GB,RO-online,roo-plp-geoip-unreg-dar:2.2.6.004,cs.kadaster.nl,28,Amsterdam
csu348.cs.kadaster.nl,ecc,qas,10.91.8.88,10.253.121.40,prod,SOL_3_1_2_0,sapr3q12,2,15.70 GB,SAP-ECC-FICO (Financien) ,,cs.kadaster.nl,147,Amsterdam
csu349.cs.kadaster.nl,dms,de1,10.91.8.89,10.253.122.14,prod,SOL_3_1_2_0,sapecd41/sapecd40,2,15.58 GB,Generieke Archief Oplossing,,cs.kadaster.nl,147,Almere
csu350.cs.kadaster.nl,woz,px4,10.91.8.90,10.253.123.73,prod,SOL_3_1_2_0,sapxip20,1,7.81 GB,LV WOZ,,cs.kadaster.nl,131,Amsterdam
csu351.cs.kadaster.nl,woz,qx4,10.91.8.91,10.253.120.148,prod,SOL_3_1_2_0,sapxiq24,2,7.81 GB,LV WOZ,,cs.kadaster.nl,131,Almere
csu353.cs.kadaster.nl,roo,roo-geoip2,10.91.8.93,10.253.122.113,prod,PLP_ROO_1_0_12_0,10.91.119.5,4,7.80 GB,RO-online,roo-plp-geoip-unreg-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu354.cs.kadaster.nl,ecc,qas,10.91.8.94,10.253.121.41,prod,SOL_3_1_2_0,sapr3q11/sapr3q10,2,31.49 GB,SAP-ECC-FICO (Financien) ,,cs.kadaster.nl,179,Amsterdam
csu355.cs.kadaster.nl,pdok,pdok-fme,10.91.8.95,10.253.123.190,prod,PLP_PDOK_1_0_6_0,,8,15.70 GB,PDOK,,cs.kadaster.nl,528,Almere
csu358.cs.kadaster.nl,lki,lki-wdv-app,10.91.8.98,10.253.123.115,prod,JAP_4_0_11_0,10.91.119.212,1,1.96 GB,LKI,wdv-dar:2.1.0.1,cs.kadaster.nl,28,Amsterdam
csu359.cs.kadaster.nl,ecc,prd,10.91.8.99,10.253.120.246,prod,SOL_3_1_2_0,sapr3p01/ecc,1,7.81 GB,SAP-ECC-FICO (Financien) ,,cs.kadaster.nl,131,Almere
csu360.cs.kadaster.nl,lvbag,lvbag-vs-em,10.91.8.100,10.253.123.23,prod,JAP_4_0_11_0,10.91.119.166,1,1.96 GB,BAG-LV,,cs.kadaster.nl,28,Amsterdam
csu361.cs.kadaster.nl,wf_rz,pw1,10.91.8.101,10.253.120.43,prod,SOL_3_1_2_0,sapwrp91/sapwrp90,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Almere
csu362.cs.kadaster.nl,woz,woz-sw,10.91.8.102,10.253.122.225,prod,JAP_3_1_3_0,10.91.119.59,2,3.86 GB,LV WOZ,wozsw-prd-appl-dar:7.1.4.0,cs.kadaster.nl,31,Amsterdam
csu363.cs.kadaster.nl,sld,dl1,10.91.8.103,10.253.120.71,prod,SOL_3_1_2_0,sapsld62/sapsld60,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Almere
csu366.cs.kadaster.nl,roo,roo-val,10.91.8.156,10.253.122.110,prod,PLP_ROO_1_0_12_0,10.91.119.225,4,7.80 GB,RO-online,roo-plp-val-dar:2.2.6.004,cs.kadaster.nl,28,Amsterdam
csu367.cs.kadaster.nl,pdok,pdok-loket,10.91.8.157,10.253.123.169,prod,PLP_PDOK_1_0_7_0,,2,3.87 GB,PDOK,pdok-loket-dar:1.0.3.4,cs.kadaster.nl,58,Almere
csu369.cs.kadaster.nl,pdok,pdok-eto-gsnlvector,10.91.8.159,10.253.123.152,prod,JAP_4_0_11_0,10.91.119.185,2,3.87 GB,PDOK,,cs.kadaster.nl,28,Almere
csu370.cs.kadaster.nl,klic,klic-poc,10.91.8.160,10.253.122.253,prod,JAP_4_0_11_0,10.91.119.91,1,1.96 GB,KLIC,,cs.kadaster.nl,28,Amsterdam
csu371.cs.kadaster.nl,woz,ix4,10.91.8.161,10.253.120.153,prod,SOL_3_1_2_0,sapxii04/sapxii03,2,7.81 GB,LV WOZ,,cs.kadaster.nl,131,Almere
csu372.cs.kadaster.nl,woz,px4,10.91.8.162,10.253.123.94,prod,SOL_3_1_2_0,/sapxip22,2,15.70 GB,LV WOZ,,cs.kadaster.nl,147,Amsterdam
csu376.cs.kadaster.nl,bgt,bgt-gpw-eto,10.91.8.166,10.253.123.136,prod,JAP_4_0_11_0,10.91.119.153,1,1.96 GB,BGT-LV,,cs.kadaster.nl,28,Amsterdam
csu378.cs.kadaster.nl,pdok,pdok-eto-geowebcache,10.91.8.168,10.253.123.154,prod,JAP_4_0_11_0,10.91.119.66,2,3.87 GB,PDOK,,cs.kadaster.nl,28,Amsterdam
csu379.cs.kadaster.nl,bgt,bgt-app-cs,10.91.8.169,10.253.123.71,prod,JAP_4_0_11_0,10.91.119.130,2,3.87 GB,BGT-LV,,cs.kadaster.nl,28,Almere
csu380.cs.kadaster.nl,pdok,pdok-eto-fme,10.91.8.170,10.253.123.148,prod,PLP_PDOK_1_0_6_0,,8,15.70 GB,PDOK,,cs.kadaster.nl,128,Amsterdam
csu381.cs.kadaster.nl,woz,woz-ot-cto,10.91.8.171,10.253.123.91,prod,PLP_OT_1_0_9_0,10.91.119.108,2,3.86 GB,LV WOZ CTO,,cs.kadaster.nl,31,Almere
csu386.cs.kadaster.nl,dba,wkpb-db,10.91.8.176,10.253.121.212,prod,HDP_1_1_2_0,10.91.119.73,4,7.80 GB,WKPB-LV,,cs.kadaster.nl,1828,Amsterdam
csu387.cs.kadaster.nl,roo,roo-geosec,10.91.8.177,10.253.122.79,prod,PLP_ROO_1_0_12_0,10.91.119.87,4,7.80 GB,RO-online,roo-plp-geosec-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu388.cs.kadaster.nl,roo,roo-geosec,10.91.8.178,10.253.122.100,prod,PLP_ROO_1_0_12_0,10.91.119.87,4,7.80 GB,RO-online,roo-plp-geosec-dar:2.2.6.004,cs.kadaster.nl,28,Amsterdam
csu389.cs.kadaster.nl,kadnl,kadnl-web,10.91.8.179,10.253.123.81,prod,JAP_4_0_11_0,10.91.119.173,2,3.87 GB,Kadaster.nl,kadnl-dar:9.20.3.27,cs.kadaster.nl,28,Almere
csu390.cs.kadaster.nl,woz,woz-as-eto,10.91.8.180,10.253.123.6,prod,JAP_3_1_3_0,10.91.119.183,2,3.86 GB,LV WOZ ETO,wozas-eto-appl-dar:7.1.2.0,cs.kadaster.nl,31,Amsterdam
csu391.cs.kadaster.nl,wf_rz,iw1,10.91.8.181,10.253.121.49,prod,SOL_3_1_2_0,sapwri01/sapwri00,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Almere
csu392.cs.kadaster.nl,roo,roo-geoip1,10.91.8.182,10.253.122.114,prod,PLP_ROO_1_0_12_0,10.91.119.10,4,7.80 GB,RO-online,roo-plp-geoip-dar:2.2.6.004,cs.kadaster.nl,28,Amsterdam
csu393.cs.kadaster.nl,roo,roo-geosec,10.91.8.183,10.253.122.103,prod,PLP_ROO_1_0_12_0,10.91.119.87,4,7.80 GB,RO-online,roo-plp-geosec-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu394.cs.kadaster.nl,roo,roo-imp,10.91.8.184,10.253.122.116,prod,PLP_ROO_1_0_12_0,10.91.119.24,4,7.80 GB,RO-online,roo-plp-imp-dar:2.2.6.004,cs.kadaster.nl,28,Amsterdam
csu397.cs.kadaster.nl,woz,qx4,10.91.8.187,10.253.120.150,prod,SOL_3_1_2_0,sapxiq20,2,7.81 GB,LV WOZ,,cs.kadaster.nl,131,Almere
csu398.cs.kadaster.nl,bw,qb1,10.91.8.188,10.253.121.66,prod,SOL_3_1_2_0,sapbwq38,2,31.49 GB,SAP-BW (Management info) ,,cs.kadaster.nl,179,Amsterdam
csu399.cs.kadaster.nl,roo,roo-geoip2-pilot,10.91.8.189,10.253.122.123,prod,PLP_ROO_1_0_12_0,10.91.119.186,4,7.80 GB,RO-Online Pilot,roo-plp-geoip-unreg-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu400.cs.kadaster.nl,bgt,bgt-app,10.91.8.190,10.253.123.131,prod,JAP_3_1_3_0,10.91.119.95,2,3.86 GB,BGT-LV,bgt-dar:2.0.60.06,cs.kadaster.nl,31,Amsterdam
csu401.cs.kadaster.nl,roo,roo-geoip1-pilot,10.91.8.191,10.253.122.124,prod,PLP_ROO_1_0_12_0,10.91.119.159,4,7.80 GB,RO-Online Pilot,roo-plp-geoip-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu402.cs.kadaster.nl,roo,roo-web,10.91.8.192,10.253.122.108,prod,PLP_ROO_1_0_12_0,10.91.119.156,2,3.86 GB,RO-online,roo-plp-web-dar:2.2.6.004,cs.kadaster.nl,28,Amsterdam
